"Supplementary Table 1. All samples used in this study and metadata. A total of 154 samples were subjected to sequencing and growth modelling. Two of them were excluded in any genetic analysis due to their low sequencing depth. ""Otolith radius in mm"" is the legnth from otolith core to the edge and ""distance_min_x"" are the distance from the core to the chemical annuli (minima) for each age estimate. ""chemAge"" is the estimated age from the age reading protocol. ""sample.type"" shows the assignment of the sample type ""random"" and ""phenotype"" according to the sampling desgin described in section 3.1. The samples were grouped into ""bins"" according to the catch year for growth modeling. The ""phenotype"" samples from 1996-1998 were grouped together with ""random"" samples from 1996 in ""bin1"". For all the genetic analysis, ""SequencingName"" were used and matched with ""fishID"" for metadata.  ",,,,,,,,,,,,,,,,,,,,,,,,
fishID,catch.year,length in mm,sex,maturity,otolith radius in mm,chemAge,distance_min_1,distance_min_2,distance_min_3,distance_min_4,distance_min_5,distance_min_6,distance_min_7,sample.type,bins,SequencingName,,,,,,,,
AL114_937,1997,350,F,6,3.376407,3,0.848789787,2.416796168,3.2,NA,NA,NA,NA,pheno,bin1,45-45-AL114-937_S45_L004,,,,,,,,
AL129_106,1998,400,F,1,2.9528847,4,0.399993,1.4823252,2.2234863,2.76465522,NA,NA,NA,pheno,bin1,18-18-AL129-106_S18_L004,,,,,,,,
AL129_148,1998,350,F,4,2.778504,5,0.4823439,1.0470411,1.623498,2.0726367,2.48439267,NA,NA,pheno,bin1,19-19-AL129-148_S19_L004,,,,,,,,
AL129_243,1998,240,M,6,2.1528984,2,0.416305938,1.760383449,NA,NA,NA,NA,NA,pheno,bin1,42-42-AL129-243_S42_L004,,,,,,,,
AL129_266,1998,300,F,4,2.5293633,3,0.534376593,1.033124708,1.971240748,NA,NA,NA,NA,pheno,bin1,50-50-AL129-266_S50_L004,,,,,,,,
AL129_339,1998,400,F,1,2.9881758,3,0.826765378,1.759833805,2.326756389,NA,NA,NA,NA,pheno,bin1,15-15-AL129-339_S15_L004,,,,,,,,
AL129_369,1998,350,F,4,2.8705353,3,0.555116422,1.665348665,2.23227125,NA,NA,NA,NA,random,bin1,23-23-AL129-369_S23_L004,,,,,,,,
AL129_377,1998,410,M,1,3.15288,5,0.611754,1.1646843,1.729377,2.388189,2.91759021,NA,NA,pheno,bin1,62-62-AL129-377_S8_L004,,,,,,,,
AL129_389,1998,410,F,1,2.8352403,2,0.401660101,2.043735052,NA,NA,NA,NA,NA,pheno,bin1,3-03-AL129-389_S3_L004,,,,,,,,
AL129_401,1998,410,F,1,2.9764101,2,0.664056825,2.430933466,NA,NA,NA,NA,NA,pheno,bin1,90-90-AL129-401_S36_L004,,,,,,,,
AL129_419,1998,270,M,6,2.4234843,3,0.54380589,1.525022739,2.116114997,NA,NA,NA,NA,pheno,bin1,86-86-AL129-419_S32_L004,,,,,,,,
AL129_467,1998,270,M,6,2.2470147,3,0.546889536,1.47423065,2.033013177,NA,NA,NA,NA,pheno,bin1,36-36-AL129-467_S36_L004,,,,,,,,
AL129_47,1998,400,F,1,3.30582,4,0.649355272,1.157034585,2.160588787,2.739108187,NA,NA,NA,pheno,bin1,28-28-AL129-47_S28_L004,,,,,,,,
AL129_87,1998,350,F,4,2.8117119,2,0.877915788,2.325297341,NA,NA,NA,NA,NA,pheno,bin1,34-34-AL129-87_S34_L004,,,,,,,,
AL130_199,1998,260,M,6,2.5528887,3,0.596468147,1.049787613,2.290440306,NA,NA,NA,NA,pheno,bin1,98-98-AL130-199_S44_L004,,,,,,,,
AL130_206,1998,230,M,6,2.5293633,2,0.992837191,2.115683232,NA,NA,NA,NA,NA,pheno,bin1,88-88-AL130-206_S34_L004,,,,,,,,
AL130_223,1998,420,F,1,3.176409,3,0.785185484,2.010541617,2.938476416,NA,NA,NA,NA,pheno,bin1,8-08-AL130-223_S8_L004,,,,,,,,
AL130_244,1998,330,F,6,2.9881803,2,0.924913809,2.027694449,NA,NA,NA,NA,NA,pheno,bin1,78-78-AL130-244_S24_L004,,,,,,,,
AL130_429,1998,410,F,1,3.129351,3,0.497852753,1.967698629,2.939692628,NA,NA,NA,NA,pheno,bin1,48-48-AL130-429_S48_L004,,,,,,,,
AL130_440,1998,520,F,1,3.576402,3,0.675019233,1.78820314,3.398767277,NA,NA,NA,NA,pheno,bin1,91-91-AL130-440_S37_L004,,,,,,,,
AL130_68,1998,420,F,1,3.23523,3,0.854946387,2.113527618,2.680282951,NA,NA,NA,NA,pheno,bin1,46-46-AL130-68_S46_L004,,,,,,,,
AL133_100,1998,450,F,1,3.552873,3,0.888218985,2.214623884,3.173899831,NA,NA,NA,NA,pheno,bin1,97-97-AL133-100_S43_L004,,,,,,,,
AL133_116,1998,340,F,6,2.9528862,3,0.652245152,1.482374658,2.644552459,NA,NA,NA,NA,pheno,bin1,27-27-AL133-116_S27_L004,,,,,,,,
AL133_119,1998,320,F,6,2.6117169,3,0.652245152,1.197758119,2.644552459,NA,NA,NA,NA,pheno,bin1,71-71-AL133-119_S17_L004,,,,,,,,
AL133_136,1998,470,F,1,3.399936,4,0.885402373,1.605527096,2.679811202,3.175636356,NA,NA,NA,pheno,bin1,24-24-AL133-136_S24_L004,,,,,,,,
AL207_131,2002,390,M,7,2.9881758,5,0.628465114,1.209496947,1.968402221,2.407140865,2.845879599,NA,NA,random,bin2,87-87-AL207-131_S33_L004,,,,,,,,
AL207_143,2002,410,F,7,2.9293536,4,0.354356705,1.098505905,1.759972496,2.64036229,NA,NA,NA,random,bin2,107-107-AL207-143_S53_L004,,,,,,,,
AL207_146,2002,440,F,7,3.764634,4,0.694104,1.3882092,2.5528917,3.2,NA,NA,NA,random,bin2,101-101-AL207-146_S47_L004,,,,,,,,
AL207_149,2002,520,F,6,4.035219,6,0.542749563,0.873118862,1.392270316,2.312582686,3.138505331,3.763845804,NA,random,bin2,73-73-AL207-149_S19_L004,,,,,,,,
AL207_151,2002,640,F,6,4.117569,4,0.741164,2.164665,3.1411167,3.87051285,NA,NA,NA,random,bin2,55-55-AL207-151_S1_L004,,,,,,,,
AL207_197,2002,640,M,9,4.211685,4,0.599988,1.5,2.5764198,3.4822851,NA,NA,NA,random,bin2,57-57-AL207-197_S3_L004,,,,,,,,
AL207_20,2002,440,F,7,3.364644,4,0.5999913,1.6587927,2.270547,3,NA,NA,NA,random,bin2,51-51-AL207-20_S51_L004,,,,,,,,
AL207_231,2002,390,F,7,3.517578,4,0.722464207,1.871302639,2.534550964,3.387294944,NA,NA,NA,random,bin2,106-106-AL207-231_S52_L004,,,,,,,,
AL207_249,2002,420,M,7,3.69405,4,0.647049,1.3646817,2.5999524,3.44699532,NA,NA,NA,random,bin2,33-33-AL207-249_S33_L004,,,,,,,,
AL207_25,2002,340,F,8,2.91759,3,0.858807,1.8117303,2.68230021,NA,NA,NA,NA,random,bin2,66-66-AL207-25_S12_L004,,,,,,,,
AL207_413,2002,430,F,7,3.894045,5,0.733832911,1.810910549,2.603922628,3.065524183,3.633654307,NA,NA,random,bin2,72-72-AL207-413_S18_L004,,,,,,,,
AL207_462,2002,340,M,7,3.317583,4,0.661154344,1.711921929,2.59739611,3.187715182,NA,NA,NA,random,bin2,40-40-AL207-462_S40_L004,,,,,,,,
AL207_473,2002,280,M,7,2.3764248,3,0.532034494,1.265062102,2.199079989,NA,NA,NA,NA,random,bin2,60-60-AL207-473_S6_L004,,,,,,,,
AL207_490,2002,340,M,6,2.9432226,3,0.878217261,1.685232469,2.136207452,NA,NA,NA,NA,random,bin2,49-49-AL207-490_S49_L004,,,,,,,,
AL207_504,2002,300,M,7,2.7646581,4,0.522084093,1.340798843,1.791689375,2.444288742,NA,NA,NA,random,bin2,16-16-AL207-504_S16_L004,,,,,,,,
AL207_516,2002,410,F,5,3.211704,4,0.7058661,1.788198,2.2823076,3.01170594,NA,NA,NA,random,bin2,108-108-AL207-516_S54_L004,,,,,,,,
AL207_539,2002,370,M,7,2.9999472,4,0.318893082,1.027539658,1.99602551,2.740107833,NA,NA,NA,random,bin2,89-89-AL207-539_S35_L004,,,,,,,,
AL207_561,2002,320,M,7,3.69405,4,0.6941085,1.2588,2.4352512,3.50581758,NA,NA,NA,random,bin2,29-29-AL207-561_S29_L004,,,,,,,,
AL207_61,2002,360,F,7,3.376407,4,0.5194484,1.35,2.184042542,3.104879284,NA,NA,NA,random,bin2,56-56-AL207-61_S2_L004,,,,,,,,
AL207_625,2002,410,M,7,3.752868,4,0.343321495,2.048094775,3.042544295,3.634480872,NA,NA,NA,random,bin2,93-93-AL207-625_S39_L004,,,,,,,,
AL207_691,2002,270,M,6,2.36466,2,0.934040252,1.927195885,NA,NA,NA,NA,NA,random,bin2,94-94-AL207-691_S40_L004,,,,,,,,
AL207_91,2002,300,M,8,2.5528917,4,0.593697317,1.270509752,1.733591673,2.256044477,NA,NA,NA,random,bin2,30-30-AL207-91_S30_L004,,,,,,,,
AL318_200,2008,350,M,5,3.188178,4,0.308152608,0.687416774,1.481498318,2.69039754,NA,NA,NA,random,bin3,58-58-AL318-200_S4_L004,,,,,,,,
AL318_234,2008,350,F,5,3.258759,6,0.592500768,1.007250974,1.824903442,2.322606469,2.784755696,3.2,NA,random,bin3,63-63-AL318-234_S9_L004,,,,,,,,
AL318_29,2008,420,F,5,3.905808,6,0.270582,0.599988,1.8470214,2.541126,3.352875,3.9,NA,random,bin3,14-14-AL318-29_S14_L004,,,,,,,,
AL318_9,2008,240,M,5,2.2587816,3,0.413911699,0.969737203,1.785736611,NA,NA,NA,NA,random,bin3,105-105-AL318-9_S51_L004,,,,,,,,
AL320_1003,2008,480,F,5,3.517581,4,0.331618398,1.136999585,2.250310503,3.3,NA,NA,NA,random,bin3,21-21-AL320-1003_S21_L004,,,,,,,,
AL320_1067,2008,310,M,5,2.847,3,0.87781791,1.51839758,2.669068386,NA,NA,NA,NA,random,bin3,43-43-AL320-1067_S43_L004,,,,,,,,
AL320_1172,2008,310,M,7,2.8352403,3,0.747329285,1.969170141,2.6,NA,NA,NA,NA,random,bin3,37-37-AL320-1172_S37_L004,,,,,,,,
AL320_132,2008,490,M,5,4.117566,5,0.37754253,1.156218583,2.465818032,3.374278542,3.9,NA,NA,random,bin3,2-02-AL320-132_S2_L004,,,,,,,,
AL320_153,2008,310,M,5,2.5175976,3,0.626446277,1.666575662,2.269380261,NA,NA,NA,NA,random,bin3,7-07-AL320-153_S7_L004,,,,,,,,
AL320_263,2008,300,M,5,2.847006,3,0.486363824,1.589579793,2.6,NA,NA,NA,NA,random,bin3,1-01-AL320-263_S1_L004,,,,,,,,
AL320_331,2008,430,F,6,3.670518,6,0.6941019,1.4470317,2.0705454,2.5058325,3.1528773,3.5,NA,random,bin3,17-17-AL320-331_S17_L004,,,,,,,,
AL320_335,2008,490,M,5,4.505796,6,0.447054,1.247034,2.0940774,2.9175948,3.7999287,4.3,NA,random,bin3,31-31-AL320-335_S31_L004,,,,,,,,
AL320_379,2008,350,M,5,3.599931,3,0.75,2.45,3.4,NA,NA,NA,NA,random,bin3,6-06-AL320-379_S6_L004,,,,,,,,
AL320_398,2008,420,F,5,3.576399,6,0.696397765,1.192131415,1.794099079,2.431479987,2.903610626,3.328529286,NA,random,bin3,44-44-AL320-398_S44_L004,,,,,,,,
AL320_487,2008,240,F,5,2.3881875,3,0.3294024,1.3293867,1.9646661,NA,NA,NA,NA,random,bin3,41-41-AL320-487_S41_L004,,,,,,,,
AL320_5,2008,370,F,5,3.235227,4,0.5058714,1.2235044,2.117601,3.03523188,NA,NA,NA,random,bin3,35-35-AL320-5_S35_L004,,,,,,,,
AL320_532,2008,390,F,5,3.094062,3,0.5646987,1.9881987,2.79995067,NA,NA,NA,NA,random,bin3,9-09-AL320-532_S9_L004,,,,,,,,
AL320_772,2008,430,F,5,3.505815,3,0.651415945,2.226670653,3.375530361,NA,NA,NA,NA,random,bin3,10-10-AL320-772_S10_L004,,,,,,,,
AL320_865,2008,270,M,6,2.7293613,3,0.754168257,1.831546336,2.5,NA,NA,NA,NA,random,bin3,12-12-AL320-865_S12_L004,,,,,,,,
AL320_879,2008,400,F,6,3.775266,4,0.494109,1.4940825,1.941141,3.1399809,NA,NA,NA,random,bin3,52-52-AL320-879_S52_L004,,,,,,,,
AL324_1047,2008,510,M,6,4.035219,5,0.64894114,1.581052027,2.383374686,3.457073306,3.85,NA,NA,random,bin3,103-103-AL324-1047_S49_L004,,,,,,,,
AL324_1064,2008,440,M,6,3.870516,4,0.804878745,1.941175432,2.923599148,3.468076549,NA,NA,NA,random,bin3,74-74-AL324-1064_S20_L004,,,,,,,,
AL324_1151,2008,480,F,8,4.105803,5,0.63528,1.8940794,2.5411272,3.2234691,3.8,NA,NA,random,bin3,32-32-AL324-1151_S32_L004,,,,,,,,
AL324_652,2008,220,M,6,2.2470147,2,0.756886859,2.005097484,NA,NA,NA,NA,NA,random,bin3,80-80-AL324-652_S26_L004,,,,,,,,
AL435_298,2014,320,F,5,2.8940655,3,0.628630375,2.348460953,2.8,NA,NA,NA,NA,random,bin4,J35428-S1-_L1_S125_L002,,,,,,,,
AL435_334,2014,310,M,5,2.8705371,3,0.806598397,1.991122238,2.8,NA,NA,NA,NA,random,bin4,J35413-S1-_L1_S110_L002,,,,,,,,
AL435_403,2014,320,M,5,3.976395,5,0.74336096,1.486723725,2.595865011,3.398224796,3.9,NA,NA,random,bin4,J35419-S1-_L1_S116_L002,,,,,,,,
AL435_413,2014,270,M,6,2.741127,4,0.759448484,1.756220117,2.183408262,2.7,NA,NA,NA,random,bin4,J35426-S1-_L1_S123_L002,,,,,,,,
AL435_634,2014,390,F,5,3.023472,3,0.474273581,2.07493539,3,NA,NA,NA,NA,random,bin4,J35414-S1-_L1_S111_L002,,,,,,,,
AL435_636,2014,410,M,5,3.494052,5,0.7764564,1.7529093,2.2470129,2.8234758,3.4,NA,NA,random,bin4,J35427-S1-_L1_S124_L002,,,,,,,,
AL435_721,2014,330,F,7,3.023472,4,0.853684645,1.659944381,2.371347043,3,NA,NA,NA,random,bin4,J35424-S1-_L1_S121_L002,,,,,,,,
AL435_725,2014,310,M,6,2.5646601,2,0.7293984,2.36466204,NA,NA,NA,NA,NA,random,bin4,J35434-S1-_L1_S131_L002,,,,,,,,
AL435_730,2014,330,M,6,3.07053,3,0.6588114,1.141155,2.564661,NA,NA,NA,NA,random,bin4,J35423-S1-_L1_S120_L002,,,,,,,,
AL437_245,2014,320,M,6,2.8352403,3,0.708812952,1.937410822,2.646223894,NA,NA,NA,NA,random,bin4,J35406-S1-_L1_S103_L002,,,,,,,,
AL437_251,2014,290,M,6,2.5646544,3,0.6470451,1.835256,2.39995323,NA,NA,NA,NA,random,bin4,J35395-S1-_L1_S92_L002,,,,,,,,
AL437_264,2014,320,M,6,3.294054,4,0.521365375,1.421896367,2.606803913,3.1,NA,NA,NA,random,bin4,J35407-S1-_L1_S104_L002,,,,,,,,
AL437_288,2014,350,F,5,3.129351,3,0.6588099,2.2234857,2.92935297,NA,NA,NA,NA,random,bin4,J35396-S1-_L1_S93_L002,,,,,,,,
AL437_505,2014,230,M,6,2.1058419,3,0.6470508,1.2940959,1.92937512,NA,NA,NA,NA,random,bin4,J35398-S1-_L1_S95_L002,,,,,,,,
AL437_562,2014,430,F,6,3.563544,4,0.521081875,1.338224334,2.79376555,3.4,NA,NA,NA,random,bin4,J35425-S1-_L1_S122_L002,,,,,,,,
AL437_573,2014,460,F,6,3.729339,5,0.793224895,1.988981835,2.770365723,3.1,3.5,NA,NA,random,bin4,J35399-S1-_L1_S96_L002,,,,,,,,
AL437_579,2014,420,F,5,2.9528877,3,0.566954701,1.996152263,2.8,NA,NA,NA,NA,random,bin4,J35397-S1-_L1_S94_L002,,,,,,,,
AL437_582,2014,320,F,5,3.223467,5,0.521441641,1.113990801,1.730242567,2.405749341,3,NA,NA,random,bin4,J35432-S1-_L1_S129_L002,,,,,,,,
AL437_601,2014,340,F,6,3.446994,5,0.627803127,1.445134023,2.262461899,2.736272713,3.4,NA,NA,random,bin4,J35405-S1-_L1_S102_L002,,,,,,,,
AL437_611,2014,310,F,5,3.282297,4,0.7764591,1.9764387,2.4940734,3.1,NA,NA,NA,random,bin4,J35433-S1-_L1_S130_L002,,,,,,,,
AL521_566,2019,300,M,5,2.3999532,3,0.768456813,1.761544264,2.2,NA,NA,NA,NA,random,bin5,J35415-S1-_L1_S112_L002,,,,,,,,
AL521_726,2019,280,M,5,2.7764181,5,0.533925068,0.85428259,1.649239937,2.230626713,2.7,NA,NA,random,bin5,J35416-S1-_L1_S113_L002,,,,,,,,
AL521_847,2019,380,M,5,3.152883,5,0.5058723,1.0352757,1.72938,2.541129,2.92935663,NA,NA,random,bin5,J35420-S1-_L1_S117_L002,,,,,,,,
AL521_865,2019,270,M,5,2.6587704,3,0.638102136,2.15065042,2.6,NA,NA,NA,NA,random,bin5,J35421-S1-_L1_S118_L002,,,,,,,,
AL522_473,2019,230,M,6,1.9785411,2,0.60569976,1.836523718,NA,NA,NA,NA,NA,random,bin5,J35403-S1-_L1_S100_L002,,,,,,,,
AL522_510,2019,290,F,5,2.5646601,3,0.626393035,1.938266975,2.3,NA,NA,NA,NA,random,bin5,J35418-S1-_L1_S115_L002,,,,,,,,
AL522_511,2019,250,M,6,2.741127,4,0.71481818,1.199241196,2.27442566,2.7,NA,NA,NA,random,bin5,J35404-S1-_L1_S101_L002,,,,,,,,
AL522_519,2019,360,M,7,3.22347,5,0.7999857,1.8705519,2.4234837,2.811714,3.2,NA,NA,random,bin5,J35400-S1-_L1_S97_L002,,,,,,,,
AL522_531,2019,330,F,5,2.9293536,4,0.838645781,1.535552474,2.374197954,2.85,NA,NA,NA,random,bin5,J35431-S1-_L1_S128_L002,,,,,,,,
AL522_532,2019,280,F,5,2.6705391,3,0.66172587,2.06789564,2.469656008,NA,NA,NA,NA,random,bin5,J35411-S1-_L1_S108_L002,,,,,,,,
AL522_543,2019,220,M,6,2.1764298,2,0.570869662,1.926680718,NA,NA,NA,NA,NA,random,bin5,J35401-S1-_L1_S98_L002,,,,,,,,
AL522_547,2019,370,F,7,2.8352403,4,0.676188266,1.565906436,2.277681154,2.8,NA,NA,NA,random,bin5,J35402-S1-_L1_S99_L002,,,,,,,,
AL522_561,2019,300,F,5,2.43525,3,0.602901143,1.66684797,2.246103743,NA,NA,NA,NA,random,bin5,J35408-S1-_L1_S105_L002,,,,,,,,
AL522_564,2019,300,M,6,3.011706,5,0.663997588,1.470283612,2.098707352,2.572997001,2.9,NA,NA,random,bin5,J35409-S1-_L1_S106_L002,,,,,,,,
AL522_579,2019,320,F,5,2.8234746,3,0.7646895,2.0117226,2.62347654,NA,NA,NA,NA,random,bin5,J35412-S1-_L1_S109_L002,,,,,,,,
AL522_593,2019,330,F,7,2.6929806,3,0.520778946,1.087076907,2.113984798,NA,NA,NA,NA,random,bin5,J35422-S1-_L1_S119_L002,,,,,,,,
AL522_594,2019,300,F,5,2.7646524,3,0.557672411,1.95780449,2.645997957,NA,NA,NA,NA,random,bin5,J35429-S1-_L1_S126_L002,,,,,,,,
AL522_613,2019,270,M,5,2.3646681,3,0.8823399,1.9176096,2.18819544,NA,NA,NA,NA,random,bin5,J35410-S1-_L1_S107_L002,,,,,,,,
AL522_624,2019,300,F,5,2.8352343,5,0.43709495,1.051398175,1.96103226,2.350880647,2.8,NA,NA,random,bin5,J35430-S1-_L1_S127_L002,,,,,,,,
AL522_682,2019,410,F,5,3.199944,4,0.4235259,0.9764517,2.4705456,3,NA,NA,NA,random,bin5,J35417-S1-_L1_S114_L002,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
